Timestamp,What gender do you identify with?,How old are you?,Where do you live?,Which is the main use you give to your smartwatch?,How many days do you use any functionality of your smartwatch?,Which is the brand of your smartwatch?,What are the features you use on your smartwatch?,What features do you use to track with your smartwatch?,What sport activities do you track with your smartwatch?
2/1/2024 10:49:47,Male,56 - 65,North America,Shortcut to cell functionalities,7,Apple,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control",Distance tracker,"Walking, Running, Swimming, Gym"
2/1/2024 11:07:26,Male,36 - 45,Europe,Training tracker,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Gym metrcis
2/1/2024 11:08:49,Male,36 - 45,Europe,Training tracker,7,Fitbit,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Heart rate monitor",Walking
2/1/2024 11:19:04,Male,36 - 45,Oceania,Training tracker,7,Fitbit,"Multisport tracker, Notifications, Time display, Email",Distance tracker,"Walking, Running, Cycling"
2/1/2024 11:21:15,Male,26 - 35,Africa,Shortcut to cell functionalities,2,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Running, Cycling"
2/1/2024 11:26:23,Male,26 - 35,Africa,Shortcut to cell functionalities,2,Apple,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Stress control","Walking, Running, Cycling"
2/1/2024 11:30:01,Female,26 - 35,Oceania,Shortcut to cell functionalities,5,Apple,"Time display, Contactless payments, Music","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Running"
2/1/2024 11:32:35,Male,26 - 35,Asia,Watch,7,Apple,"GPS, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
2/1/2024 11:32:43,Male,56 - 65,Asia,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Alarm clock, Camara, GPS, Notifications, Phone calls, Text messaging, Time display, Contactless payments, Email, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/1/2024 11:49:26,Male,36 - 45,North America,Training tracker,7,Apple,"Multisport tracker, Notifications, Phone calls, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
2/1/2024 11:51:08,Male,46 - 55,Europe,Training tracker,7,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Yoga, Pilates"
2/1/2024 12:08:44,Male,46 - 55,North America,Shortcut to cell functionalities,5,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls","Distance tracker, Heart rate monitor","Walking, Running, Swimming, Gym"
2/1/2024 12:17:32,Male,56 - 65,Asia,Health tracker,5,Fitbit,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/1/2024 12:38:02,Male,15 - 25,Europe,Training tracker,3,Fitbit,"GPS, Time display","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor",Walking
2/1/2024 12:40:49,Male,56 - 65,Europe,Shortcut to cell functionalities,2,Apple,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control",Walking
2/1/2024 12:42:40,Male,36 - 45,North America,Training tracker,3,Generic,"Multisport tracker, GPS, Time display, Music","Heart rate monitor, Sleep monitor, Mindfulness",Running
2/1/2024 12:53:37,Male,More than 66,Europe,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Sedentary reminder",Distance tracker,Walking
2/1/2024 13:06:27,Female,15 - 25,North America,Training tracker,7,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/1/2024 13:20:43,Female,15 - 25,North America,Training tracker,7,Samsung,"Multisport tracker, Notifications, Text messaging, Time display","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
2/1/2024 13:56:51,Male,15 - 25,Oceania,Training tracker,5,Fitbit,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control",Walking
2/1/2024 13:58:06,Female,15 - 25,Europe,Training tracker,7,Fitbit,"Multisport tracker, GPS, Time display, Music","Distance tracker, Sleep monitor",Running
2/1/2024 14:00:16,Male,26 - 35,North America,Shortcut to cell functionalities,7,Generic,"Notifications, Time display, Contactless payments, Voice control, Calendar","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Cycling"
2/1/2024 14:02:11,Male,36 - 45,Africa,Training tracker,6,Fitbit,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor","Walking, Running"
2/1/2024 14:39:27,Female,46 - 55,North America,Shortcut to cell functionalities,6,Garmin,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/1/2024 15:10:29,Male,15 - 25,Europe,Shortcut to cell functionalities,1,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, Swimming"
2/1/2024 15:17:46,Male,36 - 45,North America,Watch,7,Garmin,"Multisport tracker, Notifications, Time display","Distance tracker, Sleep monitor",Walking
2/1/2024 15:23:03,Female,26 - 35,North America,Training tracker,6,Apple,"Multisport tracker, Notifications, Time display, Email","Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/1/2024 15:26:06,Female,26 - 35,Asia,Watch,7,Fitbit,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling"
2/1/2024 15:34:56,Female,26 - 35,Asia,Training tracker,7,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Contactless payments, Music, Sedentary reminder, Voice control",Distance tracker,"Walking, Running, Group fitness classes, weight lifting, yoga"
2/1/2024 15:54:04,Male,36 - 45,North America,Training tracker,7,Garmin,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Group fitness classes, weight lifting, yoga"
2/1/2024 16:01:35,Female,15 - 25,Oceania,Training tracker,5,Apple,"GPS, Time display","Multisport tracker, Calories tracker, Heart rate monitor","Walking, Running, Cycling, Swimming, Workouts "
2/1/2024 16:19:18,Female,26 - 35,Europe,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor",Walking
2/1/2024 16:39:38,Female,15 - 25,Europe,Shortcut to cell functionalities,5,Fitbit,"Notifications, Phone calls, Text messaging, Time display","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control",Walking
2/1/2024 17:03:10,Female,15 - 25,Europe,Training tracker,7,Apple,"Multisport tracker, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control",Walking
2/1/2024 17:09:01,Male,36 - 45,Oceania,Training tracker,7,Fitbit,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control",Gym metrcis
2/1/2024 17:42:22,Male,46 - 55,Oceania,Health tracker,5,Apple,"Notifications, Time display, Contactless payments, Voice control, Calendar","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Yoga, Pilates"
2/1/2024 17:47:44,Female,36 - 45,Asia,Shortcut to cell functionalities,7,Fitbit,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls","Heart rate monitor, Sleep monitor, Mindfulness",Walking
2/1/2024 17:50:56,Female,46 - 55,Africa,Training tracker,4,Xiaomi,"Notifications, Time display","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/1/2024 17:53:48,Male,15 - 25,Asia,Shortcut to cell functionalities,0,Google,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Multisport tracker, Calories tracker, Heart rate monitor, Sleep monitor, Water monitor, Mindfulness","Walking, Cycling"
2/1/2024 18:25:10,Male,56 - 65,North America,Shortcut to cell functionalities,7,Xiaomi,"Multisport tracker, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor","Walking, Running, General exercises on gym"
2/1/2024 18:31:06,Female,46 - 55,Oceania,Shortcut to cell functionalities,6,Fitbit,"Multisport tracker, GPS, Time display, Music","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/1/2024 18:33:56,Female,36 - 45,Asia,Training tracker,1,Samsung,"Time display, Contactless payments, Music","Distance tracker, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 18:36:31,Female,26 - 35,Asia,Training tracker,7,Xiaomi,"Notifications, Time display","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
2/1/2024 18:43:35,Male,26 - 35,Europe,Shortcut to cell functionalities,7,Google,"Time display, Contactless payments, Music","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor",Walking
2/1/2024 19:12:58,Male,26 - 35,Asia,Training tracker,5,Generic,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/1/2024 19:24:08,Male,15 - 25,North America,Training tracker,7,Fitbit,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/1/2024 19:33:02,Female,26 - 35,North America,Training tracker,7,Xiaomi,"GPS, Time display","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/1/2024 19:34:45,Female,56 - 65,Africa,Health tracker,2,Fitbit,"Alarm clock, Notifications, Phone calls","Multisport tracker, Calories tracker, Distance tracker",Walking
2/1/2024 20:14:10,Female,36 - 45,Europe,Health tracker,7,Xiaomi,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/1/2024 20:57:38,Male,36 - 45,Asia,Training tracker,7,Garmin,"Notifications, Time display",Distance tracker,"Walking, Cycling"
2/1/2024 21:01:34,Female,36 - 45,Europe,Training tracker,3,Fitbit,"Notifications, Phone calls, Text messaging, Time display","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling, Swimming, Workouts "
2/1/2024 21:12:32,Male,36 - 45,Africa,Health tracker,7,Garmin,"Multisport tracker, Notifications, Text messaging","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
2/1/2024 21:12:45,Prefer not to say,36 - 45,North America,Training tracker,7,Fitbit,"Time display, Contactless payments, Music","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling"
2/1/2024 21:24:20,Male,46 - 55,Europe,Health tracker,1,Apple,"Notifications, Time display, Contactless payments, Voice control, Calendar","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control",Walking
2/1/2024 21:37:27,Female,15 - 25,Asia,Training tracker,7,Fitbit,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Distance tracker, Heart rate monitor",Walking
2/1/2024 22:06:45,Male,26 - 35,North America,Training tracker,6,Apple,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control","Walking, Cycling, Swimming, Skiing"
2/1/2024 22:12:10,Male,26 - 35,Europe,Training tracker,7,Xiaomi,"Multisport tracker, Time display, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, General exercises on gym"
2/1/2024 22:13:24,Female,15 - 25,Oceania,Training tracker,7,Apple,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor",Walking
2/1/2024 22:15:56,Female,15 - 25,Europe,Shortcut to cell functionalities,5,Apple,"Multisport tracker, Alarm clock, Notifications, Time display, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness",Walking
2/1/2024 22:25:00,Male,36 - 45,Africa,Training tracker,7,Garmin,"Notifications, Phone calls, Text messaging, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Cycling, strength training"
2/1/2024 22:38:10,Female,26 - 35,Europe,Training tracker,6,Apple,"Alarm clock, Time display, Sedentary reminder, Timer","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor",Walking
2/1/2024 22:48:07,Male,56 - 65,Asia,Shortcut to cell functionalities,5,Garmin,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness",Walking
2/1/2024 22:53:38,Female,46 - 55,Europe,Training tracker,3,Fitbit,"Notifications, Time display, Contactless payments, Voice control, Calendar","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Cycling, strength training"
2/1/2024 23:00:47,Male,26 - 35,Europe,Training tracker,3,Xiaomi,"Notifications, Time display","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor, Water monitor",Walking
2/1/2024 23:14:26,Male,46 - 55,North America,Health tracker,7,Apple,"Multisport tracker, Alarm clock",Distance tracker,"Walking, Running, Cycling, hiking/trekking"
2/1/2024 23:23:22,Male,More than 66,North America,Shortcut to cell functionalities,6,Garmin,"Multisport tracker, Notifications, Time display, Email","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Cycling, Yoga, stretching & gym"
2/1/2024 23:29:47,Male,15 - 25,North America,Training tracker,7,Fitbit,Multisport tracker,"Multisport tracker, Distance tracker, Heart rate monitor",Walking
2/1/2024 23:37:28,Female,26 - 35,Asia,Health tracker,3,Fitbit,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker",Walking
2/1/2024 23:39:19,Male,36 - 45,Europe,Training tracker,7,Samsung,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Distance tracker, Heart rate monitor","Walking, Yoga, Pilates"
2/1/2024 23:53:03,Female,56 - 65,Europe,Training tracker,4,Apple,"Notifications, Time display, Contactless payments, Voice control, Calendar","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control",Walking
2/2/2024 0:36:50,Male,36 - 45,Asia,Training tracker,2,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker","Walking, Running, Cycling, hiking/trekking"
2/2/2024 0:42:42,Female,36 - 45,North America,Watch,5,Fitbit,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor","Walking, Running"
2/2/2024 0:43:29,Male,36 - 45,Europe,Shortcut to cell functionalities,3,Apple,"Multisport tracker, Alarm clock","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling, Pilates"
2/2/2024 0:54:51,Male,36 - 45,Europe,Training tracker,3,Xiaomi,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder",Distance tracker,"Walking, Cycling"
2/2/2024 0:58:26,Female,56 - 65,Oceania,Training tracker,7,Apple,"Alarm clock, GPS, Notifications, Sedentary reminder","Multisport tracker, Calories tracker, Heart rate monitor, Sleep monitor, Water monitor, Mindfulness","Walking, Running, Cycling, Pilates"
2/2/2024 0:59:40,Male,36 - 45,Asia,Watch,7,Garmin,"Multisport tracker, Alarm clock, Notifications, Music, Sedentary reminder","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/2/2024 1:25:03,Female,15 - 25,Oceania,Shortcut to cell functionalities,7,Fitbit,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Music","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/2/2024 1:28:05,Male,15 - 25,Africa,Shortcut to cell functionalities,7,Fitbit,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Swimming"
2/2/2024 1:45:35,Male,15 - 25,Oceania,Training tracker,7,Apple,"Multisport tracker, Notifications, Time display",Distance tracker,Walking
2/2/2024 1:51:51,Male,36 - 45,Oceania,Watch,6,Apple,"Notifications, Phone calls, Text messaging, Time display",Distance tracker,"Walking, Cycling, Yoga, stretching & gym"
2/2/2024 2:19:59,Female,26 - 35,North America,Training tracker,5,Apple,"Multisport tracker, Sedentary reminder","Distance tracker, Heart rate monitor","Walking, Running, Skiing"
2/2/2024 3:07:01,Male,36 - 45,Asia,Health tracker,7,Garmin,"Multisport tracker, GPS, Time display, Music","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Stress control","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/2/2024 3:43:49,Male,36 - 45,Europe,Training tracker,2,Xiaomi,"Notifications, Time display","Distance tracker, Sleep monitor","Walking, Running"
2/2/2024 4:03:15,Female,36 - 45,North America,Health tracker,2,Apple,"Multisport tracker, Alarm clock, Camara, GPS, Notifications, Phone calls, Text messaging, Time display, Contactless payments, Email, Music, Sedentary reminder",Distance tracker,"Walking, Running, Cycling"
2/2/2024 4:22:36,Male,26 - 35,Oceania,Shortcut to cell functionalities,7,Google,"Multisport tracker, Alarm clock, GPS, Notifications, Time display, Music, Weather","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control","Walking, Cycling, Swimming, Skiing"
2/2/2024 4:26:10,Female,46 - 55,North America,Shortcut to cell functionalities,1,Fitbit,"Alarm clock, Notifications, Phone calls","Multisport tracker, Distance tracker, Elevation tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control",Walking
2/2/2024 4:30:13,Female,46 - 55,Europe,Shortcut to cell functionalities,3,Xiaomi,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/2/2024 5:07:48,Male,26 - 35,Asia,Training tracker,7,Generic,"Multisport tracker, Time display, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Climbing, yoga, meditation, hiking, dancing"
2/2/2024 5:29:24,Female,36 - 45,Europe,Shortcut to cell functionalities,7,Fitbit,"GPS, Time display","Multisport tracker, Distance tracker, Heart rate monitor",Walking
2/2/2024 5:42:12,Male,36 - 45,North America,Training tracker,5,Google,"Multisport tracker, Notifications, Sedentary reminder, Water drink reminder","Heart rate monitor, Sleep monitor, Mindfulness","Walking, Running"
2/2/2024 5:44:29,Female,26 - 35,North America,Health tracker,7,Apple,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running"
2/2/2024 5:46:00,Female,26 - 35,North America,Training tracker,5,Samsung,"Multisport tracker, Notifications, Text messaging, Time display","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running, Skiing"
2/2/2024 6:20:43,Male,More than 66,North America,Training tracker,7,Apple,"Multisport tracker, GPS, Time display, Music, Sedentary reminder","Multisport tracker, Distance tracker, Heart rate monitor",Walking
2/2/2024 6:25:14,Female,36 - 45,Africa,Training tracker,3,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/2/2024 6:48:57,Female,36 - 45,Asia,Shortcut to cell functionalities,7,Apple,"GPS, Time display","Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Swimming, Gym"
2/2/2024 7:02:10,Male,36 - 45,North America,Training tracker,7,Garmin,"GPS, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Stress control","Walking, Running, Cycling, Pilates"
2/2/2024 7:20:15,Male,15 - 25,Asia,Shortcut to cell functionalities,3,Fitbit,"Multisport tracker, Sedentary reminder","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling, Swimming, Workouts "
2/2/2024 7:29:12,Female,36 - 45,North America,Training tracker,5,Apple,"Notifications, Time display","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling, Pilates"
2/2/2024 7:30:44,Male,15 - 25,Asia,Training tracker,7,Apple,"Alarm clock, Notifications, Time display, Contactless payments, Sedentary reminder, Voice control","Multisport tracker, Calories tracker, Distance tracker",Walking
2/2/2024 7:38:32,Male,15 - 25,North America,Shortcut to cell functionalities,5,Garmin,"Multisport tracker, Notifications, Time display","Distance tracker, Heart rate monitor",Walking
2/2/2024 8:04:53,Female,46 - 55,North America,Training tracker,0,Apple,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls, Time display, Contactless payments, Music, Sedentary reminder, Voice control","Multisport tracker, Distance tracker, Elevation tracker, Sleep monitor","Walking, Cycling, Swimming, Skiing"
2/2/2024 8:22:01,Female,36 - 45,Europe,Shortcut to cell functionalities,7,Apple,"Multisport tracker, Notifications, Text messaging, Time display, Music, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/2/2024 8:26:43,Male,26 - 35,Asia,Training tracker,3,Fitbit,"Multisport tracker, Notifications, Text messaging, Time display","Distance tracker, Heart rate monitor","Walking, Running, Cycling, Swimming, Workouts "
2/2/2024 8:26:59,Male,46 - 55,North America,Shortcut to cell functionalities,2,Fitbit,"Multisport tracker, GPS, Time display, Music","Distance tracker, Sleep monitor","Walking, Running, General exercises on gym"
2/2/2024 9:22:08,Female,15 - 25,Europe,Training tracker,2,Garmin,"GPS, Notifications, Time display, Contactless payments, Music, Sedentary reminder, Voice control",Distance tracker,"Walking, Running"
2/2/2024 9:31:27,Female,36 - 45,North America,Training tracker,7,Fitbit,"Multisport tracker, Sedentary reminder","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control","Walking, Cycling, Swimming"
2/2/2024 9:42:22,Male,15 - 25,Africa,Shortcut to cell functionalities,5,Google,Multisport tracker,"Multisport tracker, Calories tracker, Distance tracker, Elevation tracker, Heart rate monitor",Walking
2/2/2024 10:15:03,Male,36 - 45,North America,Training tracker,5,Garmin,"Multisport tracker, Alarm clock","Multisport tracker, Distance tracker, Heart rate monitor","Walking, Running"
2/2/2024 10:42:38,Female,36 - 45,North America,Shortcut to cell functionalities,3,Fitbit,"Notifications, Phone calls, Time display","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control",Walking
2/2/2024 10:45:25,Female,15 - 25,Oceania,Health tracker,1,Xiaomi,"Multisport tracker, Alarm clock, Camara, GPS, Notifications, Phone calls, Text messaging, Time display, Contactless payments, Email, Music, Sedentary reminder","Multisport tracker, Calories tracker, Distance tracker","Walking, Running"
2/2/2024 10:48:24,Male,46 - 55,North America,Shortcut to cell functionalities,3,Fitbit,"Multisport tracker, Notifications, Time display, Contactless payments, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling"
2/2/2024 11:20:02,Male,26 - 35,North America,Training tracker,2,Google,"Alarm clock, Notifications, Phone calls, Time display, Music, Voice control",Distance tracker,"Walking, Running, Swimming, Gym"
2/2/2024 11:23:16,Female,26 - 35,Asia,Training tracker,1,Google,"Notifications, Time display, Contactless payments, Voice control, Calendar","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running, Cycling, Swimming, Workouts "
2/2/2024 11:31:27,Male,26 - 35,North America,Health tracker,7,Generic,"Multisport tracker, Alarm clock, Notifications, Time display, Music, Sedentary reminder","Distance tracker, Heart rate monitor, Sleep monitor, Mindfulness, Stress control, Noise control",Running
2/2/2024 11:45:25,Male,26 - 35,Europe,Training tracker,3,Apple,"Multisport tracker, Alarm clock","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Water monitor","Walking, Running"
2/2/2024 12:24:31,Male,15 - 25,Asia,Training tracker,5,Fitbit,"Multisport tracker, Notifications, Phone calls, Time display, Music, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling"
2/2/2024 12:28:24,Male,36 - 45,North America,Shortcut to cell functionalities,4,Xiaomi,"Alarm clock, GPS, Notifications, Sedentary reminder","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running"
2/2/2024 13:39:43,Male,46 - 55,North America,Training tracker,5,Apple,"Time display, Contactless payments, Music","Blood pressure monitor, Heart rate monitor, Sleep monitor, Stress control",Walking
2/2/2024 13:56:02,Male,26 - 35,Europe,Health tracker,4,Google,"Alarm clock, Notifications, Phone calls","Multisport tracker, Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Stress control","Walking, Running, Cycling, hiking/trekking"
2/2/2024 13:56:51,Male,15 - 25,North America,Health tracker,5,Garmin,"Multisport tracker, Notifications, Text messaging","Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness",Gym metrcis
2/2/2024 14:19:56,Male,26 - 35,Asia,Training tracker,1,Xiaomi,"Multisport tracker, Alarm clock, GPS, Notifications, Phone calls","Multisport tracker, Calories tracker, Heart rate monitor",Walking
2/2/2024 14:21:16,Female,26 - 35,Oceania,Training tracker,5,Xiaomi,"Notifications, Phone calls, Time display","Multisport tracker, Distance tracker, Heart rate monitor, Sleep monitor","Walking, Running"
2/2/2024 14:43:52,Male,26 - 35,Oceania,Health tracker,1,Samsung,"Multisport tracker, Notifications, Text messaging, Time display","Blood pressure monitor, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor",Walking
2/2/2024 14:47:29,Prefer not to say,15 - 25,Africa,Training tracker,5,Apple,"Multisport tracker, Sedentary reminder",Distance tracker,Walking
2/2/2024 14:50:38,Female,56 - 65,North America,Watch,5,Samsung,Multisport tracker,"Multisport tracker, Calories tracker, Distance tracker, Heart rate monitor, Sleep monitor, Weight monitor, Mindfulness",Walking
